site_index,English_Quote,Persian_Quote,Prise_Writer
53112,A stirring defense of rationalism.,دفاعی پرشور از خردگرایی.,Thrift Books
1776,It will appeal to readers who like simple works for achieving success.,این اثر برای مخاطبینی جذاب خواهد بود که به آثار ساده برای رسیدن به موفقیت علاقه مندند.,Library Journal
1776,An optimistic life guide.,یک راهنمای زندگی مثبت نگر.,Publishers Weekly
1776,A collection of proven tips and unique techniques.,مجموعه ای از نکات اثبات شده و روش های منحصر به فرد.,Amazon
48543,An extraordinary collection by a legendary storyteller.,مجموعه ای خارق العاده از داستان سرایی افسانه ای.,Audible
48543,A pleasure for King's many fans.,اثری لذت بخش برای طرفداران پرتعداد «کینگ».,Kirkus Reviews
48543,Uniquely wonderful.,به شکل منحصر به فردی شگفت انگیز.,Waterstones
18587,This remarkable book is a modern true crime classic.,این کتاب خارق العاده، یک اثر کلاسیک مدرن در ژانر «جنایت واقعی» است.,Publishers Weekly
18587,A vivid and meticulous investigation of a twisted predator.,تحقیقاتی بی پرده و موشکافانه درباره یک شکارچی جنسی جانی.,New York Times
18587,"A chilling, addictive account of the crimes of the Golden State Killer.",شرحی رعب انگیز و اعتیادآور از جنایت های «قاتل گلدن استیت».,Library Journal
1648,Eben Alexander has become a foundational leader in this movement.,ایبن الکساندر به یکی از رهبران بنیان گذار این جنبش تبدیل شده است.,The Daily Beast
1648,An engaging popular nonfiction.,یک اثر غیرداستانی محبوب و جذاب.,Library Journal
1648,A buoyant testimonial.,یک گواهی روح بخش.,Kirkus Reviews
69670,..to give a bullet-point summation of takeaways is to deny the real value of this lovely book.”,.. ارائه یک جمع بندی از نکات اولیه ی این کتاب، انکار ارزش واقعی این کتاب دوست داشتنی است.,Harvard Business Review
5263,A neglected masterpiece by one of history’s most celebrated writers.,شاهکاری مغفول مانده نوشته ی یکی از تحسین شده ترین نویسندگان تاریخ.,Amazon
5263,Baudelaire's autobiographical novella paints an intriguing picture of himself as a young man.,این رمان کوتاه خودزندگی نامه ای از بودلر، تصویری هیجان انگیز از خودش را به عنوان مردی جوان ترسیم می کند.,The Guardian
5263,A mocking study of love and passion.,پژوهشی هجوآمیز درباره ی عشق و اشتیاق.,Book Depository
84909,An accessible introduction to a notoriously difficult work.,مقدمه ای قابل فهم بر اثری که به سخت بودن معروف است.,Amazon
84909,Essential reading for students of Kant and aesthetics.,اثری ضروری برای دانشجویان آثار «کانت» و زیبایی شناسی.,Phil Papers
84909,Invaluable to all students and teachers of Kant’s work.,فوق العاده ارزشمند برای تمام دانشجویان و مدرسان آثار «کانت».,"Rachel Zuckert, Northwestern University"
181,Recommended for readers who seek more than entertainment from fiction.,این کتاب به مخاطبینی که به دنبال چیزی بیش از سرگرمی در ادبیات داستانی می گردند، بسیار توصیه می شود.,Kirkus Reviews
181,"In this book, humor is filled with horror.",در این کتاب، شوخ طبعی با ترس و دلهره آمیخته شده است.,Publishers Weekly
181,A condensed version of human experience.,نسخه ی فشرده شده ی تجارب بشر.,Library Journal
79843,Witty and original. Perhaps the best from one of Europe’s finest writers.,بدیع و با لطافت طبع. شاید بهترین کتاب یکی از برترین نویسندگان اروپا.,Kirkus Reviews
79843,"A charming, clever, and always amusing novel.",رمانی جذاب، هوشمندانه و همیشه سرگرم کننده.,Complete Review
79843,An enjoyable read.,داستانی لذت بخش.,Booktopia
13781,A gripping read from an author who’s not afraid to take risks.,داستانی گیرا اثر نویسنده ای که از ریسک کردن هراسی ندارد.,Publishers Weekly
13781,With a relationship teens will root for.,با رابطه ای که نوجوانان طرفدارش خواهند شد.,Booklist
13781,Fast-paced action scenes convey imminent danger vividly.,صحنه های اکشن سریع، به شکلی ملموس و باورپذیر، احساس خطر قریب الوقوع را منتقل می کنند.,Kirkus Reviews
653,One of the year's most hotly anticipated books.,یکی از مورد انتظارترین کتاب های سال.,Shelf Awareness
653,This mesmerizing novel is deeply inspiring.,این رمان مسحورکننده، عمیقا الهام بخش است.,Booklist
653,"A moving, clever novel.",رمانی تکان دهنده و هوشمندانه.,Times
32436,Singer demonstrates how to write pungently and succinctly about moral philosophy.,سینگر نحوه نوشتن دقیق و مختصر در مورد فلسفه اخلاق را نشان می دهد.,"Daniel Johnson, Standpoint"
32436,This is a lovable book which deserves to be read and discussed.,این یک کتاب دوست داشتنی است که ارزش مطالعه و بحث را دارد.,Tommi Lehtonen
478,It established Ford as an important contributor to the development of literary modernism.,این اثر، جایگاه فورد را به عنوان یکی از عاملین موثر در شکل گیری و گسترش مدرنیسم ادبی، تثبیت کرد.,Barnes & Noble
478,"It has inspired the work of several distinguished writers, including Graham Greene.",این رمان، الهام بخش آثار چندین نویسنده ی شناخته شده چون گراهام گرین بوده است.,Goodreads
478,Ford’s modernist masterpiece of passion and deceit.,شاهکار نوگرایانه ی فورد درباره ی عشق و فریب.,Independent
958,It will change the way you think and transform your decision.,این کتاب، شیوه ی تفکرتان را تغییر خواهد داد و تصمیماتتان را دگرگون خواهد کرد.,Goodreads
958,"Simple, clear, and always surprising.",ساده، صریح و همیشه غافلگیرکننده.,Barnes & Noble
958,A serious examination of the faculty of reasoning.,پژوهشی جدی و مهم درباره ی قوه ی استدلال.,Booklist
1528,Compelling and perceptive.,هیجان انگیز و خردمندانه.,Goodreads
1528,It shines a new light on the heart of the human condition.,این کتاب به بطن شرایط زندگی انسان، نوری تازه می تاباند.,Barnes & Noble
